timestamp,solar_radiation,temperature,humidity,wind_speed,pressure
2023-01-09,2.4506,4.0,83.48,4.84,101.36
2023-01-10,1.1654,3.52,79.72,4.39,101.64
2023-01-11,1.6798,2.81,74.57,4.33,102.23
2023-01-12,0.8803,7.59,92.91,6.39,101.55
2023-01-13,1.0049,8.18,88.36,8.62,100.11
2023-01-14,1.3421,1.54,80.27,9.8,100.79
2023-01-15,2.8027,1.09,76.52,10.31,101.42
2023-01-16,2.8368,1.88,72.35,7.63,101.07
2023-01-17,0.9413,3.49,81.12,3.86,100.55
2023-01-18,2.2159,6.07,88.88,5.91,100.87
2023-01-19,0.9898,4.98,93.83,4.04,101.07
2023-01-20,1.2826,5.11,87.78,6.78,100.51
2023-01-21,1.1498,3.23,77.89,4.73,101.9
2023-01-22,0.9178,4.07,80.82,2.67,101.72
2023-01-23,0.9662,3.34,89.77,8.0,100.35
2023-01-24,2.7785,3.25,79.74,6.71,101.98
2023-01-25,0.6727,4.86,81.88,6.08,101.72
2023-01-26,1.4897,6.22,82.25,8.91,100.32
2023-01-27,2.221,3.12,77.6,5.03,101.81
2023-01-28,2.6335,5.2,82.44,5.86,102.31
2023-01-29,1.0294,6.18,94.23,5.31,102.18
2023-01-30,2.2802,6.35,90.95,3.08,101.93
2023-01-31,1.6366,3.25,80.59,5.15,102.09
2023-02-01,3.0031,0.55,74.75,4.6,102.27
2023-02-02,3.3902,1.45,65.25,4.6,101.83
2023-02-03,3.1387,-3.5,74.26,11.88,101.66
2023-02-04,3.222,-7.2,82.44,6.94,103.34
2023-02-05,2.4281,3.46,80.26,7.33,102.09
2023-02-06,2.3945,4.48,88.29,6.62,101.55
2023-02-07,2.3278,2.24,79.62,4.98,102.41
2023-02-08,3.6967,5.36,84.2,4.48,102.18
2023-02-09,0.8599,6.75,88.46,4.78,101.95
2023-02-10,3.7248,9.19,83.62,7.29,101.18
2023-02-11,3.979,4.35,67.13,5.06,102.32
2023-02-12,1.8204,4.82,78.83,3.57,101.6
2023-02-13,3.7978,6.19,79.51,6.91,100.16
2023-02-14,4.0714,6.33,73.45,5.02,101.58
2023-02-15,3.5177,8.84,87.9,6.81,101.6
2023-02-16,1.6834,10.19,92.5,3.96,101.36
2023-02-17,0.7498,8.11,89.0,8.93,100.49
2023-02-18,4.3219,1.62,70.71,6.34,102.47
2023-02-19,2.761,5.0,88.18,5.69,102.3
2023-02-20,2.6513,8.16,90.07,3.95,100.57
2023-02-21,1.7081,5.18,88.41,4.93,100.37
2023-02-22,1.1165,4.3,75.41,3.89,101.71
2023-02-23,1.7436,5.16,93.91,3.91,101.14
2023-02-24,3.9682,3.62,76.44,8.26,102.25
2023-02-25,1.8689,-1.41,75.54,3.33,102.76
2023-02-26,2.73,3.35,81.8,5.55,101.21
2023-02-27,4.0824,2.73,74.04,5.49,101.2
2023-02-28,1.008,3.0,93.62,6.59,100.62
2023-03-01,3.2518,3.91,84.83,4.48,101.74
2023-03-02,2.298,6.63,89.19,4.67,100.57
2023-03-03,2.6158,4.3,76.1,6.05,101.37
2023-03-04,1.7558,6.34,89.88,7.89,100.05
2023-03-05,3.8165,5.32,79.52,5.33,101.86
2023-03-06,4.0531,5.46,75.23,5.19,101.74
2023-03-07,4.8686,3.61,69.53,8.74,101.0
2023-03-08,4.8703,2.69,75.86,9.41,101.89
2023-03-09,5.1437,4.04,79.43,6.59,102.01
2023-03-10,1.9471,4.35,88.28,3.98,101.28
2023-03-11,2.0743,4.68,87.83,6.76,100.63
2023-03-12,3.307,3.59,77.77,4.31,101.48
2023-03-13,1.4513,4.96,93.17,6.94,100.93
2023-03-14,2.256,2.5,82.97,12.97,99.96
2023-03-15,5.0386,2.87,75.6,11.34,100.93
2023-03-16,4.5422,5.07,71.44,5.23,101.52
2023-03-17,3.1157,7.44,90.1,4.66,100.51
2023-03-18,5.2493,6.49,74.63,5.93,100.58
2023-03-19,5.455,1.32,65.84,7.96,101.62
2023-03-20,5.9748,3.65,69.02,4.77,102.43
2023-03-21,5.869,6.33,77.03,4.93,102.68
2023-03-22,4.3932,7.14,89.43,4.9,102.52
2023-03-23,1.6882,9.31,96.09,4.76,101.16
2023-03-24,2.6602,7.56,74.16,3.29,101.35
2023-03-25,0.5719,6.69,92.97,6.53,101.11
2023-03-26,6.2585,8.72,77.73,4.99,101.14
2023-03-27,3.9144,7.12,84.15,4.91,101.45
2023-03-28,2.7886,6.81,81.56,3.15,101.68
2023-03-29,6.0734,6.33,73.92,4.7,101.83
2023-03-30,6.7642,3.65,61.08,6.18,102.41
2023-03-31,3.3816,6.84,82.6,4.75,102.11
2023-04-01,3.6523,11.61,90.11,8.08,99.87
2023-04-02,6.7222,6.52,66.2,7.6,101.21
2023-04-03,5.8656,7.52,75.87,5.98,101.82
2023-04-04,5.2656,11.13,93.31,4.58,101.61
2023-04-05,1.8271,9.56,96.69,4.12,102.05
2023-04-06,4.0034,12.9,93.62,3.91,101.85
2023-04-07,2.5697,9.53,69.7,5.1,102.56
2023-04-08,5.4917,5.81,61.42,4.22,103.07
2023-04-09,6.8477,6.64,72.51,3.89,103.15
2023-04-10,6.8496,8.67,76.26,4.48,102.86
2023-04-11,5.5258,11.57,75.38,6.05,101.83
2023-04-12,6.3922,15.53,72.33,5.26,101.0
2023-04-13,6.7589,16.83,77.18,4.92,100.99
2023-04-14,6.0514,16.55,83.82,4.7,101.05
2023-04-15,3.5652,13.41,96.28,4.02,101.11
2023-04-16,2.8006,13.27,92.66,2.39,100.85
2023-04-17,4.2886,12.94,83.39,4.59,100.18
2023-04-18,4.7016,10.74,69.62,6.67,100.74
2023-04-19,6.4517,10.16,68.45,4.15,101.66
2023-04-20,6.6528,9.78,73.54,3.74,102.12
2023-04-21,6.4327,11.43,90.25,5.14,101.67
2023-04-22,4.9932,12.42,94.48,5.58,101.22
2023-04-23,5.3546,13.43,83.26,5.87,100.88
2023-04-24,6.3398,10.65,75.83,3.44,101.59
2023-04-25,5.4946,10.68,73.34,2.65,101.99
2023-04-26,4.782,10.48,84.49,3.91,102.18
2023-04-27,3.091,10.54,87.3,3.27,102.14
2023-04-28,1.4662,10.17,89.34,7.24,101.89
2023-04-29,1.9471,10.82,93.77,9.3,101.0
2023-04-30,0.7111,11.81,96.63,7.0,99.58
2023-05-01,5.4487,11.81,77.8,7.25,99.25
2023-05-02,4.0051,10.38,78.86,6.34,99.54
2023-05-03,3.7567,9.88,79.12,3.68,99.87
2023-05-04,2.9702,10.27,84.65,3.28,101.04
2023-05-05,5.2531,11.61,84.12,2.72,102.08
2023-05-06,7.4434,14.15,76.74,2.86,102.13
2023-05-07,6.607,14.69,81.36,4.02,101.37
2023-05-08,7.2458,16.35,78.59,3.93,100.74
2023-05-09,5.5116,13.81,71.98,3.65,101.37
2023-05-10,7.5708,14.15,78.14,3.03,101.92
2023-05-11,7.1494,16.05,78.41,4.52,101.81
2023-05-12,6.433,18.32,77.28,4.68,101.63
2023-05-13,3.2158,18.35,80.08,4.12,101.5
2023-05-14,7.7791,15.67,71.03,3.81,102.05
2023-05-15,8.1386,15.1,72.54,4.62,102.01
2023-05-16,6.6526,16.68,77.51,5.76,100.56
2023-05-17,8.4281,13.86,65.89,6.63,100.81
2023-05-18,8.0333,10.98,65.67,4.8,102.47
2023-05-19,5.9407,13.76,86.13,5.46,102.51
2023-05-20,2.1876,14.96,96.8,5.37,101.55
2023-05-21,5.8354,16.11,80.29,4.59,101.26
2023-05-22,6.4769,15.53,82.78,4.3,102.02
2023-05-23,6.5786,13.99,80.63,4.13,102.47
2023-05-24,6.5542,14.81,71.03,3.28,101.63
2023-05-25,8.5145,14.43,70.3,4.49,101.87
